Country;Region;Happiness Rank;Happiness Score;Lower Confidence Interval;Upper Confidence Interval;Economy (GDP per Capita);Family;Health (Life Expectancy);Freedom;Trust (Government Corruption);Generosity;Dystopia Residual
Malaysia;Southeastern Asia;47;6,01;5,92;6,09;1,25;0,88;0,62;0,39;0,09;0,41;2,35
Nicaragua;Latin America and Caribbean;48;5,99;5,88;6,11;0,69;0,9;0,65;0,47;0,16;0,3;2,82
Uzbekistan;Central and Eastern Europe;49;5,99;5,9;6,08;0,74;1,17;0,5;0,61;0,28;0,34;2,35
Italy;Western Europe;50;5,98;5,9;6,06;1,35;1,04;0,85;0,19;0,03;0,17;2,35
Ecuador;Latin America and Caribbean;51;5,98;5,88;6,07;0,97;0,86;0,69;0,4;0,18;0,1;2,77
Japan;Eastern Asia;53;5,92;5,85;5,99;1,38;1,06;0,91;0,47;0,19;0,1;1,81
Kazakhstan;Central and Eastern Europe;54;5,92;5,84;6;1,23;0,96;0,57;0,41;0,11;0,15;2,49
Moldova;Central and Eastern Europe;55;5,9;5,82;5,97;0,69;0,83;0,52;0,25;0,02;0,2;3,38
Russia;Central and Eastern Europe;56;5,86;5,79;5,92;1,23;1,05;0,59;0,33;0,04;0,03;2,59
Poland;Central and Eastern Europe;57;5,84;5,75;5,92;1,25;1,05;0,69;0,45;0,06;0,14;2,2
South Korea;Eastern Asia;57;5,84;5,75;5,92;1,36;0,72;0,89;0,25;0,08;0,19;2,35
Bolivia;Latin America and Caribbean;59;5,82;5,74;5,9;0,79;0,84;0,47;0,51;0,08;0,22;2,92
Lithuania;Central and Eastern Europe;60;5,81;5,73;5,89;1,27;1,06;0,65;0,19;0,02;0,02;2,61
Belarus;Central and Eastern Europe;61;5,8;5,72;5,88;1,13;1,05;0,63;0,29;0,17;0,14;2,39
North Cyprus;Western Europe;62;5,77;5,67;5,87;1,31;0,82;0,84;0,44;0,17;0,26;1,93
Slovenia;Central and Eastern Europe;63;5,77;5,68;5,85;1,3;1,06;0,79;0,53;0,04;0,26;1,8
Peru;Latin America and Caribbean;64;5,74;5,65;5,84;1;0,81;0,63;0,38;0,05;0,15;2,73
Turkmenistan;Central and Eastern Europe;65;5,66;5,58;5,74;1,08;1,04;0,44;0,37;0,28;0,23;2,21
Mauritius;Sub-Saharan Africa;66;5,65;5,51;5,79;1,14;0,76;0,66;0,46;0,05;0,37;2,2
Libya;Middle East and Northern Africa;67;5,62;5,41;5,82;1,07;0,95;0,52;0,41;0,1;0,17;2,39
Latvia;Central and Eastern Europe;68;5,56;5,49;5,63;1,22;0,95;0,64;0,28;0,09;0,17;2,21
Cyprus;Western Europe;69;5,55;5,44;5,65;1,32;0,71;0,85;0,3;0,05;0,28;2,04
Paraguay;Latin America and Caribbean;70;5,54;5,45;5,62;0,89;1,11;0,58;0,46;0,07;0,25;2,16
Romania;Central and Eastern Europe;71;5,53;5,43;5,63;1,17;0,73;0,68;0,37;0,01;0,13;2,45
Estonia;Central and Eastern Europe;72;5,52;5,44;5,6;1,28;1,05;0,68;0,42;0,19;0,08;1,82
Jamaica;Latin America and Caribbean;73;5,51;5,32;5,71;0,89;0,96;0,59;0,44;0,04;0,22;2,36
Croatia;Central and Eastern Europe;74;5,49;5,4;5,57;1,19;0,61;0,71;0,24;0,04;0,18;2,52
Hong Kong;Eastern Asia;75;5,46;5,36;5,55;1,51;0,87;0,95;0,48;0,32;0,4;0,93
Somalia;Sub-Saharan Africa;76;5,44;5,32;5,56;0;0,34;0,11;0,57;0,31;0,27;3,84
Kosovo;Central and Eastern Europe;77;5,4;5,31;5,49;0,9;0,66;0,54;0,14;0,07;0,28;2,81
Turkey;Middle East and Northern Africa;78;5,39;5,3;5,48;1,16;0,88;0,65;0,24;0,12;0,05;2,29
Indonesia;Southeastern Asia;79;5,31;5,24;5,39;0,95;0,88;0,49;0,39;0;0,57;2,03
Jordan;Middle East and Northern Africa;80;5,3;5,19;5,42;1;0,86;0,61;0,36;0,13;0,14;2,2
Azerbaijan;Central and Eastern Europe;81;5,29;5,23;5,36;1,12;0,76;0,55;0,35;0,18;0,06;2,27
Philippines;Southeastern Asia;82;5,28;5,16;5,4;0,81;0,88;0,47;0,55;0,12;0,22;2,23
China;Eastern Asia;83;5,25;5,2;5,29;1,03;0,79;0,74;0,44;0,03;0,05;2,17
Bhutan;Southern Asia;84;5,2;5,14;5,25;0,85;0,91;0,5;0,46;0,16;0,49;1,83
Kyrgyzstan;Central and Eastern Europe;85;5,19;5,1;5,27;0,56;0,95;0,55;0,4;0,05;0,38;2,28
Serbia;Central and Eastern Europe;86;5,18;5,08;5,27;1,03;0,81;0,65;0,16;0,04;0,21;2,28
Bosnia and Herzegovina;Central and Eastern Europe;87;5,16;5,06;5,26;0,93;0,64;0,71;0,1;0;0,3;2,48
Montenegro;Central and Eastern Europe;88;5,16;5,06;5,27;1,08;0,74;0,64;0,15;0,13;0,17;2,26
Dominican Republic;Latin America and Caribbean;89;5,16;5,04;5,27;1,03;0,99;0,58;0,52;0,12;0,21;1,7
Morocco;Middle East and Northern Africa;90;5,15;5,06;5,24;0,84;0,39;0,59;0,26;0,08;0,04;2,95
Hungary;Central and Eastern Europe;91;5,15;5,06;5,23;1,24;0,93;0,68;0,2;0,04;0,1;1,95
Pakistan;Southern Asia;92;5,13;5,04;5,23;0,69;0,26;0,4;0,15;0,14;0,31;3,18
Lebanon;Middle East and Northern Africa;93;5,13;5,03;5,23;1,12;0,64;0,76;0,26;0,03;0,24;2,07
Portugal;Western Europe;94;5,12;5,03;5,22;1,28;0,94;0,79;0,45;0,02;0,12;1,53
Macedonia;Central and Eastern Europe;95;5,12;5,02;5,23;1,02;0,78;0,65;0,28;0,07;0,24;2,09
Vietnam;Southeastern Asia;96;5,06;4,99;5,13;0,74;0,79;0,66;0,56;0,12;0,25;1,94
Tunisia;Middle East and Northern Africa;98;5,05;4,97;5,13;0,98;0,43;0,6;0,24;0,08;0,04;2,68
Greece;Western Europe;99;5,03;4,94;5,13;1,25;0,75;0,8;0,06;0,04;0;2,13
Tajikistan;Central and Eastern Europe;100;5;4,92;5,07;0,49;0,76;0,53;0,43;0,14;0,26;2,39
Mongolia;Eastern Asia;101;4,91;4,84;4,98;0,99;1,09;0,55;0,36;0,03;0,35;1,54
Nigeria;Sub-Saharan Africa;103;4,88;4,75;5;0,75;0,64;0,05;0,28;0,03;0,23;2,89
Honduras;Latin America and Caribbean;104;4,87;4,75;4,99;0,69;0,76;0,58;0,27;0,07;0,2;2,3
Iran;Middle East and Northern Africa;105;4,81;4,7;4,92;1,12;0,39;0,64;0,23;0,06;0,39;2
Zambia;Sub-Saharan Africa;106;4,8;4,65;4,95;0,61;0,64;0,24;0,43;0,11;0,18;2,59
Nepal;Southern Asia;107;4,79;4,7;4,89;0,45;0,7;0,5;0,37;0,07;0,38;2,33
Palestinian Territories;Middle East and Northern Africa;108;4,75;4,65;4,86;0,67;0,72;0,57;0,18;0,11;0,11;2,4
Albania;Central and Eastern Europe;109;4,66;4,55;4,76;0,96;0,5;0,73;0,32;0,05;0,17;1,93
Bangladesh;Southern Asia;110;4,64;4,56;4,73;0,54;0,25;0,53;0,4;0,13;0,19;2,61
Sierra Leone;Sub-Saharan Africa;111;4,64;4,51;4,77;0,36;0,63;0;0,31;0,08;0,24;3,01
Iraq;Middle East and Northern Africa;112;4,58;4,45;4,7;1,07;0,59;0,51;0,25;0,14;0,2;1,82
Cameroon;Sub-Saharan Africa;114;4,51;4,42;4,61;0,52;0,63;0,13;0,43;0,06;0,23;2,52
Ethiopia;Sub-Saharan Africa;115;4,51;4,43;4,59;0,29;0,38;0,35;0,37;0,17;0,3;2,66
South Africa;Sub-Saharan Africa;116;4,46;4,37;4,55;1,02;0,96;0,19;0,42;0,08;0,14;1,64
Sri Lanka;Southern Asia;117;4,42;4,32;4,51;0,97;0,85;0,62;0,51;0,08;0,47;0,92
India;Southern Asia;118;4,4;4,35;4,46;0,74;0,29;0,45;0,4;0,09;0,25;2,18
Myanmar;Southeastern Asia;119;4,4;4,33;4,46;0,34;0,7;0,4;0,43;0,2;0,82;1,51
Egypt;Middle East and Northern Africa;120;4,36;4,26;4,47;0,95;0,5;0,52;0,19;0,1;0,13;1,97
Armenia;Central and Eastern Europe;121;4,36;4,27;4,45;0,86;0,62;0,64;0,14;0,04;0,08;1,98
Kenya;Sub-Saharan Africa;122;4,36;4,26;4,45;0,52;0,76;0,3;0,41;0,07;0,41;1,88
Ukraine;Central and Eastern Europe;123;4,32;4,24;4,41;0,87;1,01;0,59;0,13;0,02;0,2;1,5
Ghana;Sub-Saharan Africa;124;4,28;4,19;4,37;0,63;0,49;0,3;0,41;0,03;0,21;2,2
Congo (Kinshasa);Sub-Saharan Africa;125;4,27;4,19;4,35;0,06;0,81;0,19;0,16;0,06;0,25;2,75
Georgia;Central and Eastern Europe;126;4,25;4,16;4,34;0,84;0,19;0,64;0,32;0,32;0,07;1,87
Congo (Brazzaville);Sub-Saharan Africa;127;4,24;4,11;4,37;0,77;0,48;0,28;0,38;0,1;0,12;2,11
Senegal;Sub-Saharan Africa;128;4,22;4,15;4,29;0,44;0,77;0,4;0,31;0,12;0,19;1,98
Bulgaria;Central and Eastern Europe;129;4,22;4,1;4,33;1,11;0,93;0,68;0,21;0,01;0,13;1,15
Mauritania;Sub-Saharan Africa;130;4,2;4,13;4,28;0,61;0,84;0,29;0,13;0,18;0,23;1,93
Zimbabwe;Sub-Saharan Africa;131;4,19;4,1;4,29;0,35;0,71;0,16;0,25;0,09;0,19;2,44
Malawi;Sub-Saharan Africa;132;4,16;4,04;4,27;0,09;0,15;0,29;0,41;0,08;0,31;2,83
Gabon;Sub-Saharan Africa;134;4,12;4,03;4,21;1,16;0,72;0,35;0,28;0,09;0,06;1,45
Mali;Sub-Saharan Africa;135;4,07;3,99;4,16;0,31;0,86;0,16;0,28;0,14;0,21;2,11
Haiti;Latin America and Caribbean;136;4,03;3,89;4,16;0,34;0,3;0,27;0,12;0,14;0,48;2,37
Botswana;Sub-Saharan Africa;137;3,97;3,88;4,07;1,09;0,89;0,35;0,44;0,11;0,12;0,97
Ivory Coast;Sub-Saharan Africa;139;3,92;3,83;4,01;0,56;0,58;0,04;0,41;0,16;0,2;1,97
Cambodia;Southeastern Asia;140;3,91;3,8;4,02;0,56;0,54;0,42;0,59;0,08;0,4;1,32
Niger;Sub-Saharan Africa;142;3,86;3,78;3,93;0,13;0,61;0,26;0,38;0,17;0,21;2,09
Sudan;Sub-Saharan Africa;143;3,83;3,6;4,07;0,39;0,19;0,16;0,2;0,13;0,26;2,51
Chad;Sub-Saharan Africa;144;3,76;3,67;3,85;0,42;0,63;0,04;0,13;0,05;0,19;2,31
Burkina Faso;Sub-Saharan Africa;145;3,74;3,65;3,83;0,32;0,63;0,21;0,33;0,13;0,24;1,87
Uganda;Sub-Saharan Africa;145;3,74;3,63;3,85;0,35;0,91;0,2;0,44;0,06;0,27;1,51
Yemen;Middle East and Northern Africa;147;3,72;3,62;3,83;0,58;0,47;0,31;0,23;0,06;0,1;1,97
Madagascar;Sub-Saharan Africa;148;3,7;3,62;3,77;0,28;0,46;0,37;0,14;0,08;0,22;2,15
Tanzania;Sub-Saharan Africa;149;3,67;3,56;3,77;0,47;0,78;0,36;0,32;0,05;0,31;1,38
Liberia;Sub-Saharan Africa;150;3,62;3,46;3,78;0,11;0,5;0,23;0,26;0,05;0,24;2,23
Guinea;Sub-Saharan Africa;151;3,61;3,53;3,68;0,22;0,31;0,19;0,31;0,12;0,3;2,16
Rwanda;Sub-Saharan Africa;152;3,52;3,44;3,59;0,33;0,62;0,32;0,54;0,51;0,24;0,97
Benin;Sub-Saharan Africa;153;3,48;3,4;3,56;0,39;0,1;0,21;0,4;0,07;0,2;2,11
Afghanistan;Southern Asia;154;3,36;3,29;3,43;0,38;0,11;0,17;0,16;0,07;0,31;2,15
Togo;Sub-Saharan Africa;155;3,3;3,19;3,41;0,28;0;0,25;0,35;0,12;0,18;2,14
Syria;Middle East and Northern Africa;156;3,07;2,94;3,2;0,75;0,15;0,63;0,07;0,17;0,48;0,82
Burundi;Sub-Saharan Africa;157;2,91;2,73;3,08;0,07;0,23;0,16;0,04;0,09;0,2;2,1
