Country;Region;Happiness.Rank;Happiness.Score;Whisker.high;Whisker.low;Economy..GDP.per.Capita.;Family;Health..Life.Expectancy.;Freedom;Generosity;Trust..Government.Corruption.;Dystopia.Residual
Belarus;Central and Eastern Europe;67;5,57;5,65;5,49;1,16;1,44;0,64;0,3;0,16;0,16;1,72
Libya;Middle East and Northern Africa;68;5,53;5,68;5,37;1,1;1,36;0,52;0,47;0,15;0,09;1,84
Turkey;Middle East and Northern Africa;69;5,5;5,59;5,41;1,2;1,34;0,64;0,3;0,05;0,1;1,88
Paraguay;Latin America and Caribbean;70;5,49;5,58;5,41;0,93;1,51;0,58;0,47;0,22;0,09;1,69
Hong Kong ;Eastern Asia;71;5,47;5,55;5,39;1,55;1,26;0,94;0,49;0,37;0,29;0,55
Philippines;Southeastern Asia;72;5,43;5,55;5,31;0,86;1,25;0,47;0,59;0,19;0,1;1,97
Serbia;Central and Eastern Europe;73;5,39;5,49;5,3;1,07;1,26;0,65;0,21;0,22;0,04;1,95
Jordan;Middle East and Northern Africa;74;5,34;5,45;5,22;0,99;1,24;0,6;0,42;0,17;0,12;1,79
Hungary;Central and Eastern Europe;75;5,32;5,4;5,24;1,29;1,34;0,69;0,18;0,08;0,04;1,72
Jamaica;Latin America and Caribbean;76;5,31;5,58;5,04;0,93;1,37;0,64;0,47;0,23;0,06;1,61
Croatia;Central and Eastern Europe;77;5,29;5,39;5,19;1,22;0,97;0,7;0,26;0,25;0,04;1,85
Kosovo;Central and Eastern Europe;78;5,28;5,36;5,19;0,95;1,14;0,54;0,26;0,32;0,06;2,01
China;Eastern Asia;79;5,27;5,32;5,23;1,08;1,16;0,74;0,47;0,03;0,02;1,76
Pakistan;Southern Asia;80;5,27;5,36;5,18;0,73;0,67;0,4;0,24;0,32;0,12;2,79
Indonesia;Southeastern Asia;81;5,26;5,35;5,17;1;1,27;0,49;0,44;0,61;0,02;1,43
Venezuela;Latin America and Caribbean;82;5,25;5,37;5,13;1,13;1,43;0,62;0,15;0,07;0,06;1,79
Montenegro;Central and Eastern Europe;83;5,24;5,34;5,13;1,12;1,24;0,67;0,19;0,2;0,09;1,73
Morocco;Middle East and Northern Africa;84;5,24;5,32;5,15;0,88;0,77;0,6;0,41;0,03;0,09;2,46
Azerbaijan;Central and Eastern Europe;85;5,23;5,3;5,17;1,15;1,15;0,54;0,4;0,05;0,18;1,76
Dominican Republic;Latin America and Caribbean;86;5,23;5,35;5,11;1,08;1,4;0,57;0,55;0,19;0,11;1,32
Greece;Western Europe;87;5,23;5,33;5,13;1,29;1,24;0,81;0,1;0;0,04;1,75
Lebanon;Middle East and Northern Africa;88;5,22;5,32;5,13;1,07;1,13;0,74;0,29;0,26;0,04;1,7
Portugal;Western Europe;89;5,2;5,29;5,1;1,32;1,37;0,8;0,5;0,1;0,02;1,11
Bosnia and Herzegovina;Central and Eastern Europe;90;5,18;5,28;5,09;0,98;1,07;0,71;0,2;0,33;0;1,89
Honduras;Latin America and Caribbean;91;5,18;5,3;5,06;0,73;1,14;0,58;0,35;0,24;0,07;2,07
Macedonia;Central and Eastern Europe;92;5,18;5,27;5,08;1,06;1,21;0,64;0,33;0,25;0,06;1,62
Somalia;Sub-Saharan Africa;93;5,15;5,24;5,06;0,02;0,72;0,11;0,6;0,29;0,28;3,12
Vietnam;Southeastern Asia;94;5,07;5,15;5;0,79;1,28;0,65;0,57;0,23;0,09;1,46
Nigeria;Sub-Saharan Africa;95;5,07;5,21;4,94;0,78;1,22;0,06;0,39;0,23;0,03;2,37
Tajikistan;Central and Eastern Europe;96;5,04;5,11;4,97;0,52;1,27;0,53;0,47;0,25;0,15;1,85
Bhutan;Southern Asia;97;5,01;5,08;4,94;0,89;1,34;0,5;0,5;0,47;0,17;1,14
Kyrgyzstan;Central and Eastern Europe;98;5;5,09;4,92;0,6;1,39;0,55;0,45;0,43;0,04;1,54
Nepal;Southern Asia;99;4,96;5,07;4,86;0,48;1,18;0,5;0,44;0,39;0,07;1,89
Mongolia;Eastern Asia;100;4,95;5,02;4,89;1,03;1,49;0,56;0,39;0,34;0,03;1,11
South Africa;Sub-Saharan Africa;101;4,83;4,93;4,73;1,05;1,38;0,19;0,48;0,14;0,07;1,51
Tunisia;Middle East and Northern Africa;102;4,8;4,88;4,73;1,01;0,87;0,61;0,29;0,05;0,09;1,89
Palestinian Territories;Middle East and Northern Africa;103;4,78;4,88;4,67;0,72;1,16;0,57;0,25;0,11;0,09;1,88
Egypt;Middle East and Northern Africa;104;4,74;4,83;4,64;0,99;1;0,52;0,28;0,13;0,11;1,7
Bulgaria;Central and Eastern Europe;105;4,71;4,8;4,62;1,16;1,43;0,71;0,29;0,11;0,01;1
Sierra Leone;Sub-Saharan Africa;106;4,71;4,85;4,57;0,37;0,98;0,01;0,32;0,29;0,07;2,67
Cameroon;Sub-Saharan Africa;107;4,7;4,8;4,59;0,56;0,95;0,13;0,43;0,24;0,05;2,33
Iran;Middle East and Northern Africa;108;4,69;4,8;4,59;1,16;0,71;0,64;0,25;0,39;0,05;1,5
Albania;Central and Eastern Europe;109;4,64;4,75;4,54;1;0,8;0,73;0,38;0,2;0,04;1,49
Bangladesh;Southern Asia;110;4,61;4,69;4,53;0,59;0,74;0,53;0,48;0,17;0,12;1,98
Kenya;Sub-Saharan Africa;112;4,55;4,66;4,45;0,56;1,07;0,31;0,45;0,44;0,06;1,65
Myanmar;Southeastern Asia;114;4,55;4,61;4,48;0,37;1,12;0,4;0,51;0,84;0,19;1,12
Senegal;Sub-Saharan Africa;115;4,53;4,6;4,47;0,48;1,18;0,41;0,38;0,18;0,12;1,79
Zambia;Sub-Saharan Africa;116;4,51;4,64;4,38;0,64;1;0,26;0,46;0,25;0,08;1,83
Iraq;Middle East and Northern Africa;117;4,5;4,62;4,37;1,1;0,98;0,5;0,29;0,2;0,11;1,32
Gabon;Sub-Saharan Africa;118;4,47;4,56;4,37;1,2;1,16;0,36;0,31;0,04;0,08;1,32
Ethiopia;Sub-Saharan Africa;119;4,46;4,54;4,38;0,34;0,86;0,35;0,41;0,31;0,17;2,02
Sri Lanka;Southern Asia;120;4,44;4,55;4,33;1,01;1,26;0,63;0,56;0,49;0,07;0,42
Armenia;Central and Eastern Europe;121;4,38;4,47;4,29;0,9;1,01;0,64;0,2;0,08;0,03;1,52
India;Southern Asia;122;4,32;4,37;4,26;0,79;0,75;0,46;0,47;0,23;0,09;1,52
Mauritania;Sub-Saharan Africa;123;4,29;4,38;4,21;0,65;1,27;0,29;0,1;0,2;0,14;1,65
Congo (Brazzaville);Sub-Saharan Africa;124;4,29;4,41;4,17;0,81;0,83;0,29;0,44;0,12;0,08;1,72
Georgia;Central and Eastern Europe;125;4,29;4,37;4,2;0,95;0,57;0,65;0,31;0,05;0,25;1,5
Congo (Kinshasa);Sub-Saharan Africa;126;4,28;4,36;4,2;0,09;1,23;0,19;0,24;0,25;0,06;2,22
Mali;Sub-Saharan Africa;127;4,19;4,27;4,11;0,48;1,28;0,17;0,31;0,18;0,1;1,67
Ivory Coast;Sub-Saharan Africa;128;4,18;4,28;4,08;0,6;0,9;0,05;0,45;0,2;0,13;1,84
Cambodia;Southeastern Asia;129;4,17;4,28;4,06;0,6;1,01;0,43;0,63;0,39;0,07;1,04
Ghana;Sub-Saharan Africa;131;4,12;4,22;4,02;0,67;0,87;0,3;0,42;0,26;0,03;1,58
Ukraine;Central and Eastern Europe;132;4,1;4,19;4,01;0,89;1,39;0,58;0,12;0,27;0,02;0,81
Uganda;Sub-Saharan Africa;133;4,08;4,2;3,97;0,38;1,13;0,22;0,44;0,33;0,06;1,53
Burkina Faso;Sub-Saharan Africa;134;4,03;4,12;3,94;0,35;1,04;0,22;0,32;0,25;0,12;1,73
Niger;Sub-Saharan Africa;135;4,03;4,11;3,94;0,16;0,99;0,27;0,36;0,23;0,14;1,87
Malawi;Sub-Saharan Africa;136;3,97;4,08;3,86;0,23;0,51;0,32;0,47;0,29;0,07;2,08
Chad;Sub-Saharan Africa;137;3,94;4,03;3,84;0,44;0,95;0,04;0,16;0,22;0,05;2,07
Zimbabwe;Sub-Saharan Africa;138;3,88;3,98;3,77;0,38;1,08;0,2;0,34;0,19;0,1;1,6
Afghanistan;Southern Asia;141;3,79;3,87;3,71;0,4;0,58;0,18;0,11;0,31;0,06;2,15
Botswana;Sub-Saharan Africa;142;3,77;3,87;3,66;1,12;1,22;0,34;0,51;0,1;0,1;0,38
Benin;Sub-Saharan Africa;143;3,66;3,75;3,57;0,43;0,44;0,21;0,43;0,21;0,06;1,89
Madagascar;Sub-Saharan Africa;144;3,64;3,71;3,57;0,31;0,91;0,38;0,19;0,21;0,07;1,58
Haiti;Latin America and Caribbean;145;3,6;3,73;3,47;0,37;0,64;0,28;0,03;0,49;0,1;1,7
Yemen;Middle East and Northern Africa;146;3,59;3,69;3,49;0,59;0,94;0,31;0,25;0,1;0,06;1,35
Sudan;Sub-Saharan Africa;147;3,59;3,73;3,46;0,4;0,6;0,16;0,15;0,29;0,12;1,88
Liberia;Sub-Saharan Africa;148;3,53;3,65;3,41;0,12;0,87;0,23;0,33;0,27;0,04;1,67
Guinea;Sub-Saharan Africa;149;3,51;3,58;3,43;0,24;0,79;0,19;0,35;0,26;0,11;1,55
Togo;Sub-Saharan Africa;150;3,49;3,59;3,4;0,31;0,43;0,25;0,38;0,2;0,1;1,84
Rwanda;Sub-Saharan Africa;151;3,47;3,54;3,4;0,37;0,95;0,33;0,58;0,25;0,46;0,54
Syria;Middle East and Northern Africa;152;3,46;3,66;3,26;0,78;0,4;0,5;0,08;0,49;0,15;1,06
Tanzania;Sub-Saharan Africa;153;3,35;3,46;3,24;0,51;1,04;0,36;0,39;0,35;0,07;0,62
Burundi;Sub-Saharan Africa;154;2,9;3,07;2,74;0,09;0,63;0,15;0,06;0,2;0,08;1,68
