,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
114,Iran,Middle East and Northern Africa,4.548,1.1,0.842,0.785,0.305,0.27,0.125,2019
115,Guinea,Sub-Saharan Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,2019
116,Georgia,Central and Eastern Europe,4.519,0.886,0.666,0.752,0.346,0.043,0.164,2019
117,Kenya,Sub-Saharan Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053,2019
118,Mauritania,Sub-Saharan Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088,2019
119,Tunisia,Middle East and Northern Africa,4.461,0.921,1.0,0.815,0.167,0.059,0.055,2019
120,Bangladesh,Southern Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,2019
121,Iraq,Middle East and Northern Africa,4.437,1.043,0.98,0.574,0.241,0.148,0.089,2019
122,Congo (Kinshasa),Sub-Saharan Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053,2019
123,Mali,Sub-Saharan Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052,2019
124,Sierra Leone,Sub-Saharan Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045,2019
125,Sri Lanka,Southern Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047,2019
126,Myanmar,Southeastern Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172,2019
127,Chad,Sub-Saharan Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078,2019
128,Ukraine,Central and Eastern Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01,2019
129,Ethiopia,Sub-Saharan Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1,2019
130,Uganda,Sub-Saharan Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06,2019
131,Egypt,Middle East and Northern Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067,2019
132,Zambia,Sub-Saharan Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087,2019
133,Togo,Sub-Saharan Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085,2019
134,India,Southern Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085,2019
135,Liberia,Sub-Saharan Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033,2019
136,Madagascar,Sub-Saharan Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041,2019
137,Burundi,Sub-Saharan Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18,2019
138,Zimbabwe,Sub-Saharan Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089,2019
139,Haiti,Latin America and Caribbean,3.597,0.323,0.688,0.449,0.026,0.419,0.11,2019
140,Botswana,Sub-Saharan Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1,2019
141,Syria,Middle East and Northern Africa,3.462,0.619,0.378,0.44,0.013,0.331,0.141,2019
142,Malawi,Sub-Saharan Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089,2019
143,Yemen,Middle East and Northern Africa,3.38,0.287,1.163,0.463,0.143,0.108,0.077,2019
144,Rwanda,Sub-Saharan Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411,2019
145,Tanzania,Sub-Saharan Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147,2019
146,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0.0,0.158,0.025,2019
147,Sudan,Sub-Saharan Africa,2.853,0.306,0.575,0.295,0.01,0.202,0.091,2019
