,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Year
39,Slovakia,Central and Eastern Europe,6.1,1.33,1.51,0.71,0.3,0.14,0.02,2017
40,Bahrain,Middle East and Northern Africa,6.09,1.49,1.32,0.65,0.54,0.17,0.26,2017
41,Malaysia,Southeastern Asia,6.08,1.29,1.28,0.62,0.4,0.42,0.07,2017
42,Nicaragua,Latin America and Caribbean,6.07,0.74,1.29,0.65,0.45,0.3,0.13,2017
43,Ecuador,Latin America and Caribbean,6.01,1.0,1.29,0.69,0.46,0.15,0.14,2017
44,El Salvador,Latin America and Caribbean,6.0,0.91,1.18,0.6,0.43,0.08,0.09,2017
45,Poland,Central and Eastern Europe,5.97,1.29,1.45,0.7,0.52,0.16,0.06,2017
46,Uzbekistan,Central and Eastern Europe,5.97,0.79,1.55,0.5,0.66,0.42,0.25,2017
47,Italy,Western Europe,5.96,1.4,1.44,0.85,0.26,0.17,0.03,2017
48,Russia,Central and Eastern Europe,5.96,1.28,1.47,0.55,0.37,0.05,0.03,2017
49,Japan,Eastern Asia,5.92,1.42,1.44,0.91,0.51,0.12,0.16,2017
50,Lithuania,Central and Eastern Europe,5.9,1.31,1.47,0.63,0.23,0.01,0.01,2017
51,Algeria,Middle East and Northern Africa,5.87,1.09,1.15,0.62,0.23,0.07,0.15,2017
52,Latvia,Central and Eastern Europe,5.85,1.26,1.4,0.64,0.33,0.15,0.07,2017
53,South Korea,Eastern Asia,5.84,1.4,1.13,0.9,0.26,0.21,0.06,2017
54,Moldova,Central and Eastern Europe,5.84,0.73,1.25,0.59,0.24,0.21,0.01,2017
55,Romania,Central and Eastern Europe,5.82,1.22,1.15,0.69,0.46,0.13,0.0,2017
56,Bolivia,Latin America and Caribbean,5.82,0.83,1.23,0.47,0.56,0.23,0.06,2017
57,Turkmenistan,Central and Eastern Europe,5.82,1.13,1.49,0.44,0.42,0.25,0.26,2017
58,Kazakhstan,Central and Eastern Europe,5.82,1.28,1.38,0.61,0.44,0.2,0.12,2017
59,North Cyprus,Western Europe,5.81,1.35,1.19,0.83,0.47,0.27,0.16,2017
60,Slovenia,Central and Eastern Europe,5.76,1.34,1.45,0.79,0.57,0.24,0.05,2017
61,Peru,Latin America and Caribbean,5.72,1.04,1.22,0.63,0.45,0.13,0.05,2017
62,Mauritius,Sub-Saharan Africa,5.63,1.19,1.21,0.64,0.49,0.36,0.04,2017
63,Cyprus,Western Europe,5.62,1.36,1.13,0.84,0.36,0.27,0.04,2017
64,Estonia,Central and Eastern Europe,5.61,1.32,1.48,0.7,0.48,0.1,0.18,2017
65,Belarus,Central and Eastern Europe,5.57,1.16,1.44,0.64,0.3,0.16,0.16,2017
66,Libya,Middle East and Northern Africa,5.53,1.1,1.36,0.52,0.47,0.15,0.09,2017
67,Turkey,Middle East and Northern Africa,5.5,1.2,1.34,0.64,0.3,0.05,0.1,2017
68,Paraguay,Latin America and Caribbean,5.49,0.93,1.51,0.58,0.47,0.22,0.09,2017
69,Hong Kong ,Eastern Asia,5.47,1.55,1.26,0.94,0.49,0.37,0.29,2017
70,Philippines,Southeastern Asia,5.43,0.86,1.25,0.47,0.59,0.19,0.1,2017
71,Serbia,Central and Eastern Europe,5.39,1.07,1.26,0.65,0.21,0.22,0.04,2017
72,Jordan,Middle East and Northern Africa,5.34,0.99,1.24,0.6,0.42,0.17,0.12,2017
73,Hungary,Central and Eastern Europe,5.32,1.29,1.34,0.69,0.18,0.08,0.04,2017
74,Jamaica,Latin America and Caribbean,5.31,0.93,1.37,0.64,0.47,0.23,0.06,2017
75,Croatia,Central and Eastern Europe,5.29,1.22,0.97,0.7,0.26,0.25,0.04,2017
76,Kosovo,Central and Eastern Europe,5.28,0.95,1.14,0.54,0.26,0.32,0.06,2017
77,China,Eastern Asia,5.27,1.08,1.16,0.74,0.47,0.03,0.02,2017
78,Pakistan,Southern Asia,5.27,0.73,0.67,0.4,0.24,0.32,0.12,2017
79,Indonesia,Southeastern Asia,5.26,1.0,1.27,0.49,0.44,0.61,0.02,2017
80,Venezuela,Latin America and Caribbean,5.25,1.13,1.43,0.62,0.15,0.07,0.06,2017
81,Montenegro,Central and Eastern Europe,5.24,1.12,1.24,0.67,0.19,0.2,0.09,2017
82,Morocco,Middle East and Northern Africa,5.24,0.88,0.77,0.6,0.41,0.03,0.09,2017
83,Azerbaijan,Central and Eastern Europe,5.23,1.15,1.15,0.54,0.4,0.05,0.18,2017
84,Dominican Republic,Latin America and Caribbean,5.23,1.08,1.4,0.57,0.55,0.19,0.11,2017
85,Greece,Western Europe,5.23,1.29,1.24,0.81,0.1,0.0,0.04,2017
86,Lebanon,Middle East and Northern Africa,5.22,1.07,1.13,0.74,0.29,0.26,0.04,2017
87,Portugal,Western Europe,5.2,1.32,1.37,0.8,0.5,0.1,0.02,2017
88,Bosnia and Herzegovina,Central and Eastern Europe,5.18,0.98,1.07,0.71,0.2,0.33,0.0,2017
89,Honduras,Latin America and Caribbean,5.18,0.73,1.14,0.58,0.35,0.24,0.07,2017
90,Macedonia,Central and Eastern Europe,5.18,1.06,1.21,0.64,0.33,0.25,0.06,2017
91,Somalia,Sub-Saharan Africa,5.15,0.02,0.72,0.11,0.6,0.29,0.28,2017
92,Vietnam,Southeastern Asia,5.07,0.79,1.28,0.65,0.57,0.23,0.09,2017
93,Nigeria,Sub-Saharan Africa,5.07,0.78,1.22,0.06,0.39,0.23,0.03,2017
94,Tajikistan,Central and Eastern Europe,5.04,0.52,1.27,0.53,0.47,0.25,0.15,2017
95,Bhutan,Southern Asia,5.01,0.89,1.34,0.5,0.5,0.47,0.17,2017
96,Kyrgyzstan,Central and Eastern Europe,5.0,0.6,1.39,0.55,0.45,0.43,0.04,2017
97,Nepal,Southern Asia,4.96,0.48,1.18,0.5,0.44,0.39,0.07,2017
98,Mongolia,Eastern Asia,4.95,1.03,1.49,0.56,0.39,0.34,0.03,2017
99,South Africa,Sub-Saharan Africa,4.83,1.05,1.38,0.19,0.48,0.14,0.07,2017
100,Tunisia,Middle East and Northern Africa,4.8,1.01,0.87,0.61,0.29,0.05,0.09,2017
101,Palestinian Territories,Middle East and Northern Africa,4.78,0.72,1.16,0.57,0.25,0.11,0.09,2017
102,Egypt,Middle East and Northern Africa,4.74,0.99,1.0,0.52,0.28,0.13,0.11,2017
103,Bulgaria,Central and Eastern Europe,4.71,1.16,1.43,0.71,0.29,0.11,0.01,2017
104,Sierra Leone,Sub-Saharan Africa,4.71,0.37,0.98,0.01,0.32,0.29,0.07,2017
105,Cameroon,Sub-Saharan Africa,4.7,0.56,0.95,0.13,0.43,0.24,0.05,2017
106,Iran,Middle East and Northern Africa,4.69,1.16,0.71,0.64,0.25,0.39,0.05,2017
107,Albania,Central and Eastern Europe,4.64,1.0,0.8,0.73,0.38,0.2,0.04,2017
108,Bangladesh,Southern Asia,4.61,0.59,0.74,0.53,0.48,0.17,0.12,2017
109,Kenya,Sub-Saharan Africa,4.55,0.56,1.07,0.31,0.45,0.44,0.06,2017
110,Myanmar,Southeastern Asia,4.55,0.37,1.12,0.4,0.51,0.84,0.19,2017
111,Senegal,Sub-Saharan Africa,4.53,0.48,1.18,0.41,0.38,0.18,0.12,2017
112,Zambia,Sub-Saharan Africa,4.51,0.64,1.0,0.26,0.46,0.25,0.08,2017
113,Iraq,Middle East and Northern Africa,4.5,1.1,0.98,0.5,0.29,0.2,0.11,2017
114,Gabon,Sub-Saharan Africa,4.47,1.2,1.16,0.36,0.31,0.04,0.08,2017
115,Ethiopia,Sub-Saharan Africa,4.46,0.34,0.86,0.35,0.41,0.31,0.17,2017
116,Sri Lanka,Southern Asia,4.44,1.01,1.26,0.63,0.56,0.49,0.07,2017
117,Armenia,Central and Eastern Europe,4.38,0.9,1.01,0.64,0.2,0.08,0.03,2017
118,India,Southern Asia,4.32,0.79,0.75,0.46,0.47,0.23,0.09,2017
119,Mauritania,Sub-Saharan Africa,4.29,0.65,1.27,0.29,0.1,0.2,0.14,2017
120,Congo (Brazzaville),Sub-Saharan Africa,4.29,0.81,0.83,0.29,0.44,0.12,0.08,2017
121,Georgia,Central and Eastern Europe,4.29,0.95,0.57,0.65,0.31,0.05,0.25,2017
122,Congo (Kinshasa),Sub-Saharan Africa,4.28,0.09,1.23,0.19,0.24,0.25,0.06,2017
123,Mali,Sub-Saharan Africa,4.19,0.48,1.28,0.17,0.31,0.18,0.1,2017
124,Ivory Coast,Sub-Saharan Africa,4.18,0.6,0.9,0.05,0.45,0.2,0.13,2017
125,Cambodia,Southeastern Asia,4.17,0.6,1.01,0.43,0.63,0.39,0.07,2017
126,Ghana,Sub-Saharan Africa,4.12,0.67,0.87,0.3,0.42,0.26,0.03,2017
127,Ukraine,Central and Eastern Europe,4.1,0.89,1.39,0.58,0.12,0.27,0.02,2017
128,Uganda,Sub-Saharan Africa,4.08,0.38,1.13,0.22,0.44,0.33,0.06,2017
129,Burkina Faso,Sub-Saharan Africa,4.03,0.35,1.04,0.22,0.32,0.25,0.12,2017
130,Niger,Sub-Saharan Africa,4.03,0.16,0.99,0.27,0.36,0.23,0.14,2017
131,Malawi,Sub-Saharan Africa,3.97,0.23,0.51,0.32,0.47,0.29,0.07,2017
132,Chad,Sub-Saharan Africa,3.94,0.44,0.95,0.04,0.16,0.22,0.05,2017
133,Zimbabwe,Sub-Saharan Africa,3.88,0.38,1.08,0.2,0.34,0.19,0.1,2017
134,Afghanistan,Southern Asia,3.79,0.4,0.58,0.18,0.11,0.31,0.06,2017
135,Botswana,Sub-Saharan Africa,3.77,1.12,1.22,0.34,0.51,0.1,0.1,2017
136,Benin,Sub-Saharan Africa,3.66,0.43,0.44,0.21,0.43,0.21,0.06,2017
137,Madagascar,Sub-Saharan Africa,3.64,0.31,0.91,0.38,0.19,0.21,0.07,2017
138,Haiti,Latin America and Caribbean,3.6,0.37,0.64,0.28,0.03,0.49,0.1,2017
139,Yemen,Middle East and Northern Africa,3.59,0.59,0.94,0.31,0.25,0.1,0.06,2017
140,Sudan,Sub-Saharan Africa,3.59,0.4,0.6,0.16,0.15,0.29,0.12,2017
141,Liberia,Sub-Saharan Africa,3.53,0.12,0.87,0.23,0.33,0.27,0.04,2017
142,Guinea,Sub-Saharan Africa,3.51,0.24,0.79,0.19,0.35,0.26,0.11,2017
143,Togo,Sub-Saharan Africa,3.49,0.31,0.43,0.25,0.38,0.2,0.1,2017
144,Rwanda,Sub-Saharan Africa,3.47,0.37,0.95,0.33,0.58,0.25,0.46,2017
145,Syria,Middle East and Northern Africa,3.46,0.78,0.4,0.5,0.08,0.49,0.15,2017
146,Tanzania,Sub-Saharan Africa,3.35,0.51,1.04,0.36,0.39,0.35,0.07,2017
147,Burundi,Sub-Saharan Africa,2.9,0.09,0.63,0.15,0.06,0.2,0.08,2017
