Country,2015,2016,2017,2018,2019
Bahrain,"5,96","6,22","6,09","6,11","6,20"
Italy,"5,95","5,98","5,96","6,00","6,22"
Bolivia,"5,89","5,82","5,82","5,75","5,78"
Moldova,"5,89","5,9","5,84","5,64","5,53"
Paraguay,"5,88","5,54","5,49","5,68","5,74"
Kazakhstan,"5,86","5,92","5,82","5,79","5,81"
Slovenia,"5,85","5,77","5,76","5,95","6,12"
Lithuania,"5,83","5,81","5,9","5,95","6,15"
Nicaragua,"5,83","5,99","6,07","6,14","6,11"
Peru,"5,82","5,74","5,72","5,66","5,70"
Belarus,"5,81","5,8","5,57","5,48","5,32"
Poland,"5,79","5,84","5,97","6,12","6,18"
Malaysia,"5,77","6,01","6,08","6,32","5,34"
Croatia,"5,76","5,49","5,29","5,32","5,43"
Libya,"5,75","5,62","5,53","5,57","5,53"
Russia,"5,72","5,86","5,96","5,81","5,65"
Jamaica,"5,71","5,51","5,31","5,89","5,89"
North Cyprus,"5,7","5,77","5,81","5,84","5,72"
Cyprus,"5,69","5,55","5,62","5,76","6,05"
Algeria,"5,61","6,36","5,87","5,30","5,21"
Kosovo,"5,59","5,4","5,28","5,66","6,10"
Turkmenistan,"5,55","5,66","5,82","5,64","5,25"
Mauritius,"5,48","5,65","5,63","5,89","5,89"
Hong Kong,"5,47","5,46","5,45","5,43","5,43"
Estonia,"5,43","5,52","5,61","5,74","5,89"
Indonesia,"5,4","5,31","5,26","5,09","5,19"
Vietnam,"5,36","5,06","5,07","5,10","5,18"
Turkey,"5,33","5,39","5,5","5,48","5,37"
Kyrgyzstan,"5,29","5,19",5,"5,13","5,26"
Nigeria,"5,27","4,88","5,07","5,16","5,27"
Bhutan,"5,25","5,2","5,01","5,08","5,08"
Azerbaijan,"5,21","5,29","5,23","5,20","5,21"
Pakistan,"5,19","5,13","5,27","5,47","5,65"
Jordan,"5,19","5,3","5,34","5,16","4,91"
Montenegro,"5,19","5,16","5,24","5,35","5,52"
China,"5,14","5,25","5,27","5,25","5,19"
Zambia,"5,13","4,8","4,51","4,38","4,11"
Romania,"5,12","5,53","5,82","5,95","6,07"
Serbia,"5,12","5,18","5,39","5,40","5,60"
Portugal,"5,1","5,12","5,2","5,41","5,69"
Latvia,"5,1","5,56","5,85","5,93","5,94"
Philippines,"5,07","5,28","5,43","5,52","5,63"
Somalia,"5,06","5,44","5,15","4,98","4,67"
Morocco,"5,01","5,15","5,24","5,25","5,21"
Macedonia,"5,01","5,12","5,18","5,19","5,27"
Albania,"4,96","4,66","4,64","4,59","4,72"
Bosnia and Herzegovina,"4,95","5,16","5,18","5,13","5,39"
Dominican Republic,"4,89","5,16","5,23","5,30","5,43"
Mongolia,"4,87","4,91","4,95","5,13","5,29"
Greece,"4,86","5,03","5,23","5,36","5,29"
Lebanon,"4,84","5,13","5,22","5,36","5,20"
Hungary,"4,8","5,15","5,32","5,62","5,76"
Honduras,"4,79","4,87","5,18","5,50","5,86"
Tajikistan,"4,79",5,"5,04","5,20","5,47"
Tunisia,"4,74","5,05","4,8","4,59","4,46"
Palestinian Territories,"4,72","4,75","4,78","4,74","4,70"
Bangladesh,"4,69","4,64","4,61","4,50","4,46"
Iran,"4,69","4,81","4,69","4,71","4,55"
Ukraine,"4,68","4,32","4,1","4,10","4,33"
Iraq,"4,68","4,58","4,5","4,46","4,44"
South Africa,"4,64","4,46","4,83","4,72","4,72"
Ghana,"4,63","4,28","4,12","4,66","5,00"
Zimbabwe,"4,61","4,19","3,88","3,69","3,66"
Liberia,"4,57","3,62","3,53","3,50","3,98"
India,"4,57","4,4","4,32","4,19","4,02"
Sudan,"4,55","3,83","3,59","3,25","2,85"
Haiti,"4,52","4,03","3,6","3,58","3,60"
Congo (Kinshasa),"4,52","4,27","4,28","4,25","4,42"
Nepal,"4,51","4,79","4,96","4,88","4,91"
Ethiopia,"4,51","4,51","4,46","4,35","4,29"
Sierra Leone,"4,51","4,64","4,71","4,57","4,37"
Mauritania,"4,44","4,2","4,29","4,36","4,49"
Kenya,"4,42","4,36","4,55","4,41","4,51"
Armenia,"4,35","4,36","4,38","4,32","4,56"
Botswana,"4,33","3,97","3,77","3,59","3,49"
Myanmar,"4,31","4,4","4,55","4,31","4,36"
Georgia,"4,3","4,25","4,29","4,34","4,52"
Malawi,"4,29","4,16","3,97","3,59","3,41"
Sri Lanka,"4,27","4,42","4,44","4,47","4,37"
Cameroon,"4,25","4,51","4,7","4,98","5,04"
Bulgaria,"4,22","4,22","4,71","4,93","5,01"
Egypt,"4,19","4,36","4,74","4,42","4,17"
Yemen,"4,08","3,72","3,59","3,36","3,38"
Mali,4,"4,07","4,19","4,45","4,39"
Congo (Brazzaville),"3,99","4,24","4,29","4,56","4,81"
Uganda,"3,93","3,74","4,08","4,16","4,19"
Senegal,"3,9","4,22","4,53","4,63","4,68"
Gabon,"3,9","4,12","4,47","4,76","4,80"
Niger,"3,85","3,86","4,03","4,17","4,63"
Cambodia,"3,82","3,91","4,17","4,43","4,70"
Tanzania,"3,78","3,67","3,35","3,30","3,23"
Madagascar,"3,68","3,7","3,64","3,77","3,93"
Chad,"3,67","3,76","3,94","4,30","4,35"
Guinea,"3,66","3,61","3,51","3,96","4,53"
Ivory Coast,"3,66","3,92","4,18","4,67","4,94"
Burkina Faso,"3,59","3,74","4,03","4,42","4,59"
Afghanistan,"3,58","3,36","3,79","3,63","3,20"
Rwanda,"3,47","3,52","3,47","3,41","3,33"
Benin,"3,34","3,48","3,66","4,14","4,88"
Syria,"3,01","3,07","3,46","3,46","3,46"
Burundi,"2,91","2,91","2,9","2,91","3,78"
Togo,"2,84","3,3","3,49","4,00","4,09"
