,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Year
66,Kosovo,Central and Eastern Europe,5.59,0.8,0.81,0.63,0.25,0.05,0.28,2015
67,Turkmenistan,Central and Eastern Europe,5.55,0.96,1.23,0.54,0.48,0.31,0.17,2015
68,Mauritius,Sub-Saharan Africa,5.48,1.01,0.99,0.71,0.56,0.08,0.38,2015
69,Hong Kong,Eastern Asia,5.47,1.39,1.06,1.01,0.6,0.37,0.39,2015
70,Estonia,Central and Eastern Europe,5.43,1.15,1.23,0.77,0.45,0.15,0.09,2015
71,Indonesia,Southeastern Asia,5.4,0.83,1.09,0.64,0.47,0.0,0.52,2015
72,Vietnam,Southeastern Asia,5.36,0.63,0.91,0.75,0.59,0.1,0.17,2015
73,Turkey,Middle East and Northern Africa,5.33,1.06,0.95,0.73,0.23,0.16,0.12,2015
74,Kyrgyzstan,Central and Eastern Europe,5.29,0.47,1.15,0.65,0.43,0.04,0.3,2015
75,Nigeria,Sub-Saharan Africa,5.27,0.65,0.9,0.16,0.34,0.04,0.27,2015
76,Bhutan,Southern Asia,5.25,0.77,1.1,0.57,0.53,0.15,0.48,2015
77,Azerbaijan,Central and Eastern Europe,5.21,1.02,0.94,0.64,0.37,0.16,0.08,2015
78,Pakistan,Southern Asia,5.19,0.6,0.41,0.51,0.12,0.1,0.34,2015
79,Jordan,Middle East and Northern Africa,5.19,0.9,1.05,0.7,0.41,0.14,0.11,2015
80,Montenegro,Central and Eastern Europe,5.19,0.97,0.91,0.73,0.18,0.14,0.16,2015
81,China,Eastern Asia,5.14,0.89,0.95,0.82,0.52,0.03,0.08,2015
82,Zambia,Sub-Saharan Africa,5.13,0.47,0.92,0.3,0.49,0.12,0.2,2015
83,Romania,Central and Eastern Europe,5.12,1.04,0.89,0.77,0.35,0.01,0.14,2015
84,Serbia,Central and Eastern Europe,5.12,0.92,1.01,0.75,0.2,0.03,0.19,2015
85,Portugal,Western Europe,5.1,1.16,1.14,0.88,0.51,0.01,0.14,2015
86,Latvia,Central and Eastern Europe,5.1,1.11,1.1,0.72,0.3,0.06,0.18,2015
87,Philippines,Southeastern Asia,5.07,0.71,1.04,0.58,0.63,0.12,0.25,2015
88,Somalia,Sub-Saharan Africa,5.06,0.19,0.95,0.44,0.47,0.4,0.5,2015
89,Morocco,Middle East and Northern Africa,5.01,0.73,0.64,0.61,0.42,0.09,0.07,2015
90,Macedonia,Central and Eastern Europe,5.01,0.92,1.0,0.74,0.33,0.05,0.22,2015
91,Albania,Central and Eastern Europe,4.96,0.88,0.8,0.81,0.36,0.06,0.14,2015
92,Bosnia and Herzegovina,Central and Eastern Europe,4.95,0.83,0.92,0.79,0.09,0.0,0.25,2015
93,Dominican Republic,Latin America and Caribbean,4.89,0.9,1.17,0.67,0.58,0.14,0.22,2015
94,Mongolia,Eastern Asia,4.87,0.83,1.3,0.6,0.44,0.03,0.33,2015
95,Greece,Western Europe,4.86,1.15,0.93,0.88,0.08,0.01,0.0,2015
96,Lebanon,Middle East and Northern Africa,4.84,1.03,0.8,0.84,0.34,0.05,0.22,2015
97,Hungary,Central and Eastern Europe,4.8,1.12,1.2,0.76,0.32,0.03,0.13,2015
98,Honduras,Latin America and Caribbean,4.79,0.6,0.95,0.7,0.4,0.07,0.23,2015
99,Tajikistan,Central and Eastern Europe,4.79,0.39,0.86,0.57,0.47,0.15,0.23,2015
100,Tunisia,Middle East and Northern Africa,4.74,0.88,0.6,0.74,0.26,0.06,0.06,2015
101,Palestinian Territories,Middle East and Northern Africa,4.72,0.6,0.93,0.66,0.24,0.13,0.11,2015
102,Bangladesh,Southern Asia,4.69,0.4,0.43,0.6,0.41,0.13,0.21,2015
103,Iran,Middle East and Northern Africa,4.69,1.01,0.54,0.7,0.3,0.06,0.38,2015
104,Ukraine,Central and Eastern Europe,4.68,0.8,1.2,0.67,0.25,0.03,0.15,2015
105,Iraq,Middle East and Northern Africa,4.68,0.99,0.82,0.6,0.0,0.14,0.18,2015
106,South Africa,Sub-Saharan Africa,4.64,0.92,1.18,0.28,0.33,0.09,0.12,2015
107,Ghana,Sub-Saharan Africa,4.63,0.55,0.68,0.4,0.42,0.04,0.23,2015
108,Zimbabwe,Sub-Saharan Africa,4.61,0.27,1.03,0.33,0.26,0.08,0.19,2015
109,Liberia,Sub-Saharan Africa,4.57,0.07,0.79,0.34,0.29,0.06,0.24,2015
110,India,Southern Asia,4.57,0.64,0.38,0.52,0.4,0.08,0.26,2015
111,Sudan,Sub-Saharan Africa,4.55,0.52,1.01,0.37,0.1,0.15,0.19,2015
112,Haiti,Latin America and Caribbean,4.52,0.27,0.74,0.39,0.24,0.17,0.46,2015
113,Congo (Kinshasa),Sub-Saharan Africa,4.52,0.0,1.0,0.1,0.23,0.08,0.25,2015
114,Nepal,Southern Asia,4.51,0.36,0.86,0.57,0.38,0.06,0.32,2015
115,Ethiopia,Sub-Saharan Africa,4.51,0.19,0.6,0.44,0.43,0.15,0.24,2015
116,Sierra Leone,Sub-Saharan Africa,4.51,0.33,0.96,0.0,0.41,0.09,0.21,2015
117,Mauritania,Sub-Saharan Africa,4.44,0.45,0.87,0.36,0.24,0.17,0.22,2015
118,Kenya,Sub-Saharan Africa,4.42,0.36,1.0,0.41,0.42,0.06,0.38,2015
119,Armenia,Central and Eastern Europe,4.35,0.77,0.78,0.73,0.2,0.04,0.08,2015
120,Botswana,Sub-Saharan Africa,4.33,0.99,1.1,0.05,0.49,0.12,0.1,2015
121,Myanmar,Southeastern Asia,4.31,0.27,0.71,0.48,0.44,0.19,0.8,2015
122,Georgia,Central and Eastern Europe,4.3,0.74,0.39,0.73,0.41,0.38,0.06,2015
123,Malawi,Sub-Saharan Africa,4.29,0.02,0.41,0.23,0.43,0.07,0.33,2015
124,Sri Lanka,Southern Asia,4.27,0.84,1.02,0.71,0.54,0.09,0.41,2015
125,Cameroon,Sub-Saharan Africa,4.25,0.42,0.89,0.23,0.49,0.06,0.21,2015
126,Bulgaria,Central and Eastern Europe,4.22,1.01,1.11,0.77,0.31,0.01,0.12,2015
127,Egypt,Middle East and Northern Africa,4.19,0.88,0.75,0.62,0.17,0.06,0.11,2015
128,Yemen,Middle East and Northern Africa,4.08,0.55,0.68,0.4,0.36,0.08,0.09,2015
129,Mali,Sub-Saharan Africa,4.0,0.26,1.04,0.21,0.39,0.12,0.19,2015
130,Congo (Brazzaville),Sub-Saharan Africa,3.99,0.68,0.66,0.31,0.41,0.12,0.12,2015
131,Uganda,Sub-Saharan Africa,3.93,0.21,1.13,0.34,0.46,0.07,0.29,2015
132,Senegal,Sub-Saharan Africa,3.9,0.36,0.98,0.44,0.37,0.11,0.21,2015
133,Gabon,Sub-Saharan Africa,3.9,1.06,0.91,0.43,0.32,0.11,0.07,2015
134,Niger,Sub-Saharan Africa,3.85,0.07,0.77,0.3,0.48,0.16,0.19,2015
135,Cambodia,Southeastern Asia,3.82,0.46,0.63,0.61,0.66,0.07,0.4,2015
136,Tanzania,Sub-Saharan Africa,3.78,0.29,1.0,0.38,0.33,0.06,0.34,2015
137,Madagascar,Sub-Saharan Africa,3.68,0.21,0.67,0.47,0.19,0.08,0.21,2015
138,Chad,Sub-Saharan Africa,3.67,0.34,0.76,0.15,0.24,0.05,0.18,2015
139,Guinea,Sub-Saharan Africa,3.66,0.17,0.46,0.24,0.38,0.12,0.29,2015
140,Ivory Coast,Sub-Saharan Africa,3.66,0.47,0.77,0.15,0.47,0.18,0.2,2015
141,Burkina Faso,Sub-Saharan Africa,3.59,0.26,0.85,0.27,0.39,0.13,0.22,2015
142,Afghanistan,Southern Asia,3.58,0.32,0.3,0.3,0.23,0.1,0.37,2015
143,Rwanda,Sub-Saharan Africa,3.47,0.22,0.77,0.43,0.59,0.55,0.23,2015
144,Benin,Sub-Saharan Africa,3.34,0.29,0.35,0.32,0.48,0.08,0.18,2015
145,Syria,Middle East and Northern Africa,3.01,0.66,0.47,0.72,0.16,0.19,0.47,2015
146,Burundi,Sub-Saharan Africa,2.91,0.02,0.42,0.22,0.12,0.1,0.2,2015
147,Togo,Sub-Saharan Africa,2.84,0.21,0.14,0.28,0.36,0.11,0.17,2015
